episode_id,off_spec,alarmed,alarm_step,breach_step,lead_time_s
265,True,True,140.0,120,
286,True,True,140.0,120,
145,True,True,152.0,120,
162,True,True,140.0,120,
119,True,True,152.0,120,
16,True,True,140.0,120,
370,True,True,140.0,120,
311,False,False,,120,
64,True,True,140.0,120,
362,False,False,,120,
300,False,True,156.0,120,
0,True,True,140.0,120,
249,True,True,148.0,120,
147,False,True,164.0,120,
253,True,True,148.0,120,
5,True,True,140.0,120,
392,False,True,160.0,120,
130,True,True,140.0,120,
96,True,True,152.0,120,
176,True,True,144.0,120,
66,True,True,140.0,120,
112,False,True,164.0,120,
141,True,True,140.0,120,
232,False,True,176.0,120,
143,True,True,140.0,120,
41,False,False,,120,
124,True,True,148.0,120,
63,True,True,140.0,120,
182,True,True,140.0,120,
98,True,True,152.0,120,
156,True,True,140.0,120,
296,False,False,,120,
385,False,False,,120,
30,True,True,140.0,120,
142,True,True,140.0,120,
365,True,True,140.0,120,
55,True,True,140.0,120,
45,True,True,140.0,120,
103,True,True,148.0,120,
20,True,True,140.0,120,
174,True,True,140.0,120,
242,True,True,160.0,120,
4,True,True,140.0,120,
266,True,True,140.0,120,
334,True,True,140.0,120,
59,False,False,,120,
324,True,True,140.0,120,
237,False,True,160.0,120,
132,False,True,200.0,120,
90,True,True,156.0,120,
397,True,True,140.0,120,
76,True,True,140.0,120,
273,True,True,140.0,120,
391,True,True,148.0,120,
398,True,True,152.0,120,
36,True,True,140.0,120,
355,True,True,140.0,120,
122,True,True,140.0,120,
259,True,True,140.0,120,
354,False,True,168.0,120,
207,True,True,140.0,120,
325,False,True,168.0,120,
214,True,True,140.0,120,
35,True,True,140.0,120,
137,False,True,184.0,120,
50,True,True,140.0,120,
251,True,True,140.0,120,
186,True,True,152.0,120,
309,True,True,140.0,120,
206,False,True,160.0,120,
257,False,False,,120,
351,False,True,172.0,120,
314,True,True,140.0,120,
233,False,False,,120,
65,True,True,140.0,120,
21,True,True,152.0,120,
111,True,True,140.0,120,
25,False,True,172.0,120,
106,False,False,,120,
315,True,True,140.0,120,
